trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
147,False,"{'a': 0.01, 'e': 0.10062573338693172}",20,8,-22.061503630063353,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
148,False,"{'a': 0.01, 'e': 0.09067162446430967}",20,11,19.55315670431701,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.08070844845480062}",20,9,7.6732420200743725,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.0707372016677029}",20,6,22.122826516016623,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.0607588812193859}",20,1,35.448157429245974,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.05077448493357918}",25,2,33.765330705486704,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.040785011241591035}",20,16,6.302752408002587,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.030791459082466124}",20,0,-8.52568226831864,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
155,False,"{'a': 0.01, 'e': 0.02079482780309243}",30,0,35.61702518058364,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
156,False,"{'a': 0.01, 'e': 0.010796117058267392}",20,0,29.023680073190373,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
157,False,"{'a': 0.01, 'e': 0.0007963267107332633}",25,12,23.491441062774367,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,12,16.730189584692724,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,8,23.783212546236847,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,12,-8.439414302906064,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,10,23.514067196494292,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
